[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 120 行.
[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 121 行.
[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 122 行.
[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | INFO: Tag[ view_end ] --START--
[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | INFO: Run ShowPageTrace Behavior [ RunTime:0.004146s ]
[ 2012-05-16T16:27:42+08:00 ] /myfcms/admin/index.php?m=Archives&a=main | INFO: Tag[ view_end ] --END-- [ RunTime:0.004412s ]
[ 2012-05-16T16:27:58+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ app_begin ] --START--
[ 2012-05-16T16:27:58+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001925s ]
[ 2012-05-16T16:27:58+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002266s ]
[ 2012-05-16T16:27:58+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.009195s ]
[ 2012-05-16T16:27:58+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | SQL: SELECT * FROM `myf_archives` WHERE ( `id` = '218' ) LIMIT 1   [ RunTime:0.002698s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008255s ]
